,mdate,key,editor,editor1,title,booktitle,series,volume,publisher,year,isbn,url,__len,editor2,editor3,ee,editor4,editor5
0,2003-01-21,journals/lncs/1993-759,Nabil R. Adam,Bharat K. Bhargava,Advanced Database Systems,Advanced Database Systems,Lecture Notes in Computer Science,759,Springer,1993,3-540-57507-3,db/journals/lncs/lncs759.html,15,,,,,
1,2003-01-21,journals/lncs/1994-910,Andreas Podelski,,"Constraint Programming: Basics and Trends, Châtillon Spring School, Châtillon-sur-Seine, France, May 16 - 20, 1994, Selected Papers",Constraint Programming,Lecture Notes in Computer Science,910,Springer,1995,3-540-59155-9,db/journals/lncs/lncs910.html,15,,,,,
2,2003-01-21,journals/lncs/1991-546,Otthein Herzog,Claus-Rainer Rollinger,"Text Understanding in LILOG, Integrating Computational Linguistics and Artificial Intelligence, Final Report on the IBM Germany LILOG-Project",Text Understanding in LILOG,Lecture Notes in Computer Science,546,Springer,1991,3-540-54594-8,db/journals/lncs/lncs546.html,15,,,,,
3,2005-05-18,journals/anthology/cd1-3,,,"The ACM SIGMOD Anthology, CDROM Edition, Volume 1-3, PODS '82-'98",pods8298,,,,1999,,db/anthology.html#vol1,15,,,,,
4,2005-05-19,journals/anthology/dvd1,,,"The ACM SIGMOD Anthology, Silver Edition, DVD 1, Proceedings",aDVD1,,,,2001,,db/about/dvd1.html,15,,,,,
5,2012-06-20,journals/tedu/2009-2,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment II,T. Edutainment,Lecture Notes in Computer Science,5660,Springer,2009,978-3-642-03269-1,db/journals/tedu/tedu2.html,15,Wolfgang Müller 0004,Abdennour El Rhalibi,http://dx.doi.org/10.1007/978-3-642-03270-7,,
6,2014-07-31,journals/tedu/2010-4,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment IV,T. Edutainment,Lecture Notes in Computer Science,6250,Springer,2010,978-3-642-14483-7,db/journals/tedu/tedu4.html,15,Wolfgang Müller 0004,Xiaopeng Zhang 0001,http://dx.doi.org/10.1007/978-3-642-14484-4,Kevin Wong,
7,2012-06-20,journals/tedu/2011-6,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment VI,T. Edutainment,Lecture Notes in Computer Science,6758,Springer,2011,978-3-642-22638-0,db/journals/tedu/tedu6.html,15,Wolfgang Müller 0004,,http://dx.doi.org/10.1007/978-3-642-22639-7,,
8,2012-06-20,journals/tedu/2008-1,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment I,T. Edutainment,Lecture Notes in Computer Science,5080,Springer,2008,978-3-540-69737-4,db/journals/tedu/tedu1.html,15,Wolfgang Müller 0004,Abdennour El Rhalibi,,,
9,2012-06-11,journals/tedu/2012-7,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment VII,T. Edutainment,Lecture Notes in Computer Science,7145,Springer,2012,978-3-642-29049-7,db/journals/tedu/tedu7.html,15,Wolfgang Müller 0004,Maiga Chang,http://dx.doi.org/10.1007/978-3-642-29050-3,Mingmin Zhang,
10,2012-06-11,journals/tedu/2012-8,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment VIII,T. Edutainment,Lecture Notes in Computer Science,7220,Springer,2012,978-3-642-31438-4,db/journals/tedu/tedu8.html,15,Wolfgang Müller 0004,Maiga Chang,http://dx.doi.org/10.1007/978-3-642-31439-1,Mingmin Zhang,
11,2013-05-31,journals/tedu/2013-10,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment X,T. Edutainment,Lecture Notes in Computer Science,7775,Springer,2013,978-3-642-37918-5,db/journals/tedu/tedu10.html,15,Wolfgang Müller 0004,Ido Iurgel,http://dx.doi.org/10.1007/978-3-642-37919-2,Paolo Petta,Bodo Urban
12,2012-06-20,journals/tedu/2011-5,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment V,T. Edutainment,Lecture Notes in Computer Science,6530,Springer,2011,978-3-642-18451-2,db/journals/tedu/tedu5.html,15,Wolfgang Müller 0004,Xubo Yang,http://dx.doi.org/10.1007/978-3-642-18452-9,,
13,2011-09-03,journals/tedu/2009-3,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment III,T. Edutainment,Lecture Notes in Computer Science,5940,Springer,2009,978-3-642-11244-7,db/journals/tedu/tedu3.html,15,Wolfgang Müller 0004,Maiga Chang,http://dx.doi.org/10.1007/978-3-642-11245-4,,
14,2013-05-31,journals/tedu/2013-9,Zhigeng Pan,Adrian David Cheok,Transactions on Edutainment IX,T. Edutainment,Lecture Notes in Computer Science,7544,Springer,2013,978-3-642-37041-0,db/journals/tedu/tedu9.html,15,Wolfgang Müller 0004,Fotis Liarokapis,http://dx.doi.org/10.1007/978-3-642-37042-7,,
